Review,Sentiment
"Amazing experience, highly recommend!",2
"Very bad experience, avoid at all costs.",0
Superb! Exceeded my expectations.,2
"The quality is fantastic, very satisfied.",2
"Decent quality, but not the best.",1
"Just fine, met my expectations.",1
"Extremely poor service, not happy.",0
"Waste of money, totally useless.",0
I absolutely love this product!,2
"Average experience, nothing to complain about.",1
"Great service, will buy again!",2
"Terrible quality, would not recommend!",0
"It was okay, nothing special.",1
Really disappointed with this purchase.,0
"Not bad, but could be better.",1
